lig1,lig2,DDGb,DDGberr,DDGbexpt,DDGbexptlow,DDGbexpthigh,deltaDDGb,pvalue,pltygap,pltyint,type
237,290,-5.044844,0.418583,-1.01859,-1.064305,-0.971847,4.026254,6.66228E-22,0,0,R-group
237,336,-2.404714,0.42236,-0.274449,-0.308164,-0.239285,2.130265,4.56571E-07,0,0,R-group
251,15,-2.412805,0.398203,-0.8046,-0.85244,-0.75893,1.608205,5.37584E-05,0,0,R-group
251,25,-2.166945,0.389163,-0.039615,-0.05945,-0.019802,2.12733,4.59203E-08,0,0,R-group
252,124,-1.214183,0.42083,-0.411729,-0.423492,-0.400044,0.802454,0.0565419,0,0,scaffold hopping
252,155,-0.428052,0.419318,-0.792991,-0.811925,-0.774402,0.364939,0.384128,0,0,R-group
252,231,0.685313,0.387674,-0.311298,-0.32183,-0.300814,0.996611,0.010148,0,0,R-group
252,290,-0.603888,0.403994,-0.855575,-0.876203,-0.835379,0.251687,0.533287,0,0,R-group
252,336,0.094014,0.378455,-0.111434,-0.120062,-0.102817,0.205448,0.587227,0,0,R-group
254,50,1.774622,0.413908,-0.147586,-0.392252,0.267939,1.922208,3.4165E-06,0,0,scaffold hopping
254,251,0.120558,0.399238,-0.695683,-0.946188,-0.274449,0.816241,0.0409045,0,0,R-group
266,84,4.587037,0.428176,2.965804,2.939671,2.992158,1.621233,0.000152863,0,0,R-group
266,156,4.290988,0.416864,0.799536,0.780024,0.819432,3.491452,5.49816E-17,0,0,R-group
266,165,4.311052,0.410338,1.301668,1.268505,1.334727,3.009384,2.23523E-13,0,0,R-group
266,254,3.006986,0.408584,0.986474,0.559315,1.243162,2.020512,7.60829E-07,0,0,R-group
289,35,-0.966338,0.403481,3.769308,3.523228,4.186225,4.735646,8.23816E-32,0,0,scaffold hopping
289,224,2.613459,0.421463,1.257056,1.01262,1.672353,1.356403,0.00128943,0,0,R-group
290,23,2.484417,0.409259,3.507245,3.486453,3.528462,1.022828,0.0124467,0,0,R-group
290,84,4.084982,0.414417,2.99792,2.970942,3.025167,1.087062,0.00871306,0,0,R-group
290,256,0.943608,0.409386,-0.108299,-0.144712,-0.072088,1.051907,0.0101853,0,0,R-group
290,7a,-0.044325,0.409375,0.570107,0.547479,0.593126,0.614432,0.133381,0,0,R-group
336,251,1.308814,0.414631,-0.421234,-0.435588,-0.406996,1.730048,3.01276E-05,0,0,R-group
338,163,0.387258,0.394327,-0.218429,-0.274798,-0.163015,0.605687,0.124538,0,0,R-group
338,165,2.68413,0.411193,1.527084,1.486934,1.5676,1.157046,0.00489483,0,0,R-group
338,215,0.648103,0.409948,0.159349,0.119198,0.199865,0.488754,0.233169,0,0,R-group
7a,23,0.989773,0.404602,2.937138,2.926335,2.947974,1.947365,1.48652E-06,0,0,R-group
7a,224,1.668855,0.416062,0.337804,0.327929,0.347724,1.331051,0.00137826,0,0,R-group
7b,42,-3.183177,0.416284,-1.549132,-1.5676,-1.530751,1.634045,8.66172E-05,0,0,scaffold hopping
7b,231,-3.96747,0.42025,-2.63504,-2.649442,-2.620608,1.33243,0.00152142,0,0,R-group
